starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 17 09:34:40 2018	1537169680	1422	270	1692	269
Mon Sep 17 09:35:44 2018	1537169744	1032	660	1692	659
Mon Sep 17 09:32:28 2018	1537169548	1587	105	1692	103
Mon Sep 17 09:32:32 2018	1537169552	1477	215	1692	214
Mon Sep 17 09:31:50 2018	1537169510	672	1020	1692	1020
Mon Sep 17 09:31:06 2018	1537169466	1586	106	1692	75
Mon Sep 17 09:33:31 2018	1537169611	1553	140	1693	140
Mon Sep 17 09:33:31 2018	1537169611	1517	176	1693	176
Mon Sep 17 09:33:31 2018	1537169611	1553	140	1693	140
Mon Sep 17 09:34:49 2018	1537169689	1564	129	1693	127
Mon Sep 17 09:32:28 2018	1537169548	1572	121	1693	120
Mon Sep 17 09:35:28 2018	1537169728	456	1237	1693	1232
Mon Sep 17 09:35:44 2018	1537169744	1040	653	1693	653
Mon Sep 17 09:35:44 2018	1537169744	1040	653	1693	651
Mon Sep 17 09:32:49 2018	1537169569	995	698	1693	698
Mon Sep 17 09:31:48 2018	1537169508	655	1038	1693	1014
Mon Sep 17 09:33:31 2018	1537169611	1568	125	1693	125
Mon Sep 17 09:35:30 2018	1537169730	1516	178	1693	177
Mon Sep 17 09:35:30 2018	1537169730	1516	178	1694	177
Mon Sep 17 09:34:28 2018	1537169668	1546	147	1694	146
Mon Sep 17 09:35:44 2018	1537169744	1032	662	1694	661
Mon Sep 17 09:34:40 2018	1537169680	1422	272	1694	268
Mon Sep 17 09:31:03 2018	1537169463	739	956	1694	951
Mon Sep 17 09:32:28 2018	1537169548	1549	147	1695	95
Mon Sep 17 09:32:24 2018	1537169544	1597	99	1696	99
Mon Sep 17 09:34:49 2018	1537169689	1579	117	1696	115
Mon Sep 17 09:32:57 2018	1537169577	1512	184	1696	184
Mon Sep 17 09:33:39 2018	1537169619	1517	180	1697	180
Mon Sep 17 09:32:34 2018	1537169554	814	882	1697	882
Mon Sep 17 09:32:37 2018	1537169557	906	791	1697	777
Mon Sep 17 09:34:30 2018	1537169670	530	1167	1697	1116
Mon Sep 17 09:33:31 2018	1537169611	1528	169	1697	164
Mon Sep 17 09:32:24 2018	1537169544	1580	118	1698	118
Mon Sep 17 09:31:03 2018	1537169463	1527	171	1698	140
Mon Sep 17 09:34:49 2018	1537169689	1551	146	1698	145
Mon Sep 17 09:34:49 2018	1537169689	1479	220	1698	218
Mon Sep 17 09:34:27 2018	1537169667	1601	97	1699	68
Mon Sep 17 09:34:49 2018	1537169689	1513	186	1699	184
Mon Sep 17 09:34:27 2018	1537169667	1590	109	1699	81
Mon Sep 17 09:32:24 2018	1537169544	1596	103	1700	103
Mon Sep 17 09:32:34 2018	1537169554	791	908	1700	908
Mon Sep 17 09:35:30 2018	1537169730	441	1259	1700	1259
Mon Sep 17 09:33:37 2018	1537169617	1252	448	1700	446
Mon Sep 17 09:32:32 2018	1537169552	942	758	1700	756
Mon Sep 17 09:31:48 2018	1537169508	664	1036	1700	1017
Mon Sep 17 09:32:31 2018	1537169551	873	828	1700	826
Mon Sep 17 09:32:31 2018	1537169551	858	842	1700	841
Mon Sep 17 09:32:32 2018	1537169552	903	797	1700	795
Mon Sep 17 09:32:32 2018	1537169552	965	735	1700	733
Mon Sep 17 09:32:31 2018	1537169551	917	783	1700	782
Mon Sep 17 09:32:31 2018	1537169551	903	797	1700	795
Mon Sep 17 09:35:30 2018	1537169730	437	1264	1700	1263
Mon Sep 17 09:32:57 2018	1537169577	1517	184	1700	183
